account,avg_daily_pnl,pnl_volatility,total_pnl,total_trades,avg_trades_per_day,avg_win_rate,trading_days,pnl_consistency,frequency_segment,consistency_segment,cluster,archetype
0x083384f897ee0f19899168e3b1bec365f52a9012,66676.242499125,150401.79734551374,1600229.819979,3818,159.08333333333334,0.35233288809198676,24,2.2557029566450417,Frequent Trader,Inconsistent,2,Neutral Trader
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,920.8715483461539,3603.0422910248762,47885.320514,7280,140.0,0.39713376753982704,52,3.9126437271117163,Frequent Trader,Inconsistent,0,Neutral Trader
0x271b280974205ca63b716753467d5a371de622ab,-5869.682609833333,33420.410013838264,-70436.191318,3809,317.4166666666667,0.3799521001942577,12,5.693733755238511,Frequent Trader,Consistent Loser,0,Neutral Trader
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,817.6840404567902,2993.2847018942703,132464.814554,13311,82.16666666666667,0.4525088144750888,162,3.660686218800869,Frequent Trader,Inconsistent,0,Neutral Trader
0x2c229d22b100a7beb69122eed721cee9b24011dd,2444.3189129565217,4867.743468797182,168658.004994,3239,46.94202898550725,0.498708261557744,69,1.991451868658971,Infrequent Trader,Inconsistent,0,Neutral Trader
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-725.6651159534885,10110.280939662283,-31203.599986,815,18.953488372093023,0.2662149612452762,43,13.932433437213577,Infrequent Trader,Consistent Loser,1,Neutral Trader
0x39cef799f8b69da1995852eea189df24eb5cae3c,314.2808551304348,14586.482779999604,14456.919336,3589,78.02173913043478,0.36468216478488236,46,46.41225354797248,Frequent Trader,Inconsistent,0,Neutral Trader
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,1910.5802586785717,5774.468515461302,53496.247243000005,332,11.857142857142858,0.45689935064935067,28,3.0223637485047474,Infrequent Trader,Inconsistent,0,Neutral Trader
0x420ab45e0bd8863569a5efbb9c05d91f40624641,9975.2796366,20797.39604487325,199505.592732,383,19.15,0.42995901639344264,20,2.084893536867002,Infrequent Trader,Consistent Winner,0,Neutral Trader
0x430f09841d65beb3f27765503d0f850b8bce7713,14876.49544075,32725.08326015729,416541.872341,1237,44.17857142857143,0.2026689708141321,28,2.1997844444139907,Infrequent Trader,Inconsistent,1,Neutral Trader
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,717.6646955625,2484.2443189649503,103343.716161,8519,59.15972222222222,0.3639104417771443,144,3.461566844327283,Infrequent Trader,Inconsistent,0,Neutral Trader
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,11685.293976603449,25344.268484609507,677747.050643,4356,75.10344827586206,0.426408492962711,58,2.168902941867398,Frequent Trader,Consistent Winner,0,Neutral Trader
0x4f93fead39b70a1824f981a54d4e55b278e9f760,962.5416502056074,7430.255413150263,308975.869716,7584,23.626168224299064,0.30121366471109007,321,7.719411834120303,Infrequent Trader,Inconsistent,1,Neutral Trader
0x513b8629fe877bb581bf244e326a047b249c4ff1,21549.296287589743,42171.74469920306,840422.555216,12236,313.7435897435897,0.3254950998749796,39,1.9569894132242645,Frequent Trader,Inconsistent,1,Neutral Trader
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2313.4301440851063,7470.04650016332,108731.216772,975,20.74468085106383,0.3411133250429654,47,3.2289915976211647,Infrequent Trader,Inconsistent,1,Neutral Trader
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,22597.66136394737,80215.01097553849,429355.565915,1590,83.6842105263158,0.20335120373383359,19,3.5497040901747896,Frequent Trader,Inconsistent,1,Neutral Trader
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,5546.761692753847,23406.44232359817,360539.510029,1424,21.907692307692308,0.21355719975901696,65,4.219839181112816,Infrequent Trader,Inconsistent,1,Neutral Trader
